BFS_NR_GEMEINDE;GEMEINDE_NAME;Jahr;Auszahlung_Abschoepfung_in_CHF;Auszahlung_Abschoepfung_in_CHF_pro_Einwohner;;;;;;
4545;Diessenhofen;2008;-3375;-1;;;;;;
4406;Dozwil;2008;-66544;-121;;;;;;
4411;Egnach;2008;;;;;;;;
4476;Erlen;2008;-624988;-203;;;;;;
4646;Ermatingen;2008;228989;85;;;;;;
4806;Eschenz;2008;-83783;-52;;;;;;
4724;Eschlikon;2008;10826;3;;;;;;
4561;Felben-Wellhausen;2008;;;;;;;;
4726;Fischingen;2008;-1076422;-419;;;;;;
4566;Frauenfeld;2008;514939;23;;;;;;
4571;Gachnang;2008;;;;;;;;
4651;Gottlieben;2008;51972;162;;;;;;
4656;Guettingen;2008;;;;;;;;
4486;Hauptwil-Gottshaus;2008;-539695;-299;;;;;;
4416;Hefenhofen;2008;-372721;-312;;;;;;
4811;Herdern;2008;-198875;-216;;;;;;
4495;Hohentannen;2008;-402030;-662;;;;;;
4816;Homburg;2008;-787530;-550;;;;;;
4421;Horn;2008;123398;51;;;;;;
4590;Huettlingen;2008;-247459;-296;;;;;;
4821;Huettwilen;2008;-190568;-135;;;;;;
4666;Kemmental;2008;-495345;-225;;;;;;
4426;Kesswil;2008;;;;;;;;
4501;Kradolf-Schoenenberg;2008;-706014;-220;;;;;;
4671;Kreuzlingen;2008;281460;16;;;;;;
4681;Langrickenbach;2008;-507956;-462;;;;;;
4683;Lengwil;2008;24249;19;;;;;;
4741;Lommis;2008;-41960;-40;;;;;;
4826;Mammern;2008;7328;13;;;;;;
4941;Maerstetten;2008;;;;;;;;
4591;Matzingen;2008;-29074;-12;;;;;;
4831;Muellheim;2008;-39686;-16;;;;;;
4746;Muenchwilen;2008;;;;;;;;
4691;Muensterlingen;2008;49970;20;;;;;;
4601;Neunforn;2008;-115444;-124;;;;;;
4841;Pfyn;2008;-107806;-57;;;;;;
4846;Raperswilen;2008;-206661;-521;;;;;;
4751;Rickenbach;2008;-115864;-47;;;;;;
4431;Roggwil;2008;48707;17;;;;;;
4436;Romanshorn;2008;;;;;;;;
4851;Salenstein;2008;216717;174;;;;;;
4441;Salmsach;2008;-426670;-327;;;;;;
4546;Schlatt;2008;-157400;-100;;;;;;
4756;Schoenholzerswilen;2008;-446620;-595;;;;;;
4761;Sirnach;2008;;;;;;;;
4446;Sommeri;2008;-206504;-416;;;;;;
4864;Steckborn;2008;;;;;;;;
4606;Stettfurt;2008;38382;35;;;;;;
4506;Sulgen;2008;;;;;;;;
4696;Taegerwilen;2008;119465;33;;;;;;
4611;Thundorf;2008;-260647;-205;;;;;;
4776;Tobel-Taegerschen;2008;;;;;;;;
4616;Uesslingen-Buch;2008;-183259;-175;;;;;;
4451;Uttwil;2008;1325;1;;;;;;
4871;Wagenhausen;2008;-9534;-6;;;;;;
4701;Waeldi;2008;-367440;-383;;;;;;
4781;Waengi;2008;;;;;;;;
4621;Warth-Weiningen;2008;167612;143;;;;;;
4946;Weinfelden;2008;160371;16;;;;;;
4951;Wigoltingen;2008;-404259;-190;;;;;;
4786;Wilen;2008;-133914;-66;;;;;;
4791;Wuppenau;2008;-415511;-412;;;;;;
4511;Zihlschlacht-Sitterdorf;2008;-247117;-122;;;;;;
4551;Aadorf;2007;;;;;;;;
4711;Affeltrangen;2007;;;;;;;;
4641;Altnau;2007;;;;;;;;
4881;Amlikon-Bissegg;2007;-414367;-342;;;;;;
4461;Amriswil;2007;-1549863;-135;;;;;;
4401;Arbon;2007;-369588;-29;;;;;;
4536;Basadingen-Schlattingen;2007;-117850;-70;;;;;;
4891;Berg;2007;;;;;;;;
4801;Berlingen;2007;4616;6;;;;;;
4716;Bettwiesen;2007;;;;;;;;
4721;Bichelsee-Balterswil;2007;;;;;;;;
4901;Birwinken;2007;-420601;-329;;;;;;
4471;Bischofszell;2007;-147447;-27;;;;;;
4643;Bottighofen;2007;403359;208;;;;;;
4723;Braunau;2007;-152540;-230;;;;;;
4911;Buerglen;2007;;;;;;;;
4921;Bussnang;2007;-127870;-64;;;;;;
4545;Diessenhofen;2007;;;;;;;;
4406;Dozwil;2007;-89947;-168;;;;;;
4411;Egnach;2007;;;;;;;;
4476;Erlen;2007;-259504;-85;;;;;;
4646;Ermatingen;2007;166529;63;;;;;;
4806;Eschenz;2007;-23708;-15;;;;;;
4724;Eschlikon;2007;15772;4;;;;;;
4561;Felben-Wellhausen;2007;;;;;;;;
4726;Fischingen;2007;-646273;-252;;;;;;
4566;Frauenfeld;2007;591509;27;;;;;;
4571;Gachnang;2007;;;;;;;;
4651;Gottlieben;2007;42852;133;;;;;;
4656;Guettingen;2007;;;;;;;;
4486;Hauptwil-Gottshaus;2007;-757171;-419;;;;;;
4416;Hefenhofen;2007;-190472;-162;;;;;;
4811;Herdern;2007;-127674;-139;;;;;;
4495;Hohentannen;2007;-307963;-510;;;;;;
4816;Homburg;2007;-577539;-404;;;;;;
4421;Horn;2007;91563;39;;;;;;
4590;Huettlingen;2007;-69904;-84;;;;;;
4821;Huettwilen;2007;-111717;-81;;;;;;
4666;Kemmental;2007;-211018;-98;;;;;;
4426;Kesswil;2007;;;;;;;;
4501;Kradolf-Schoenenberg;2007;-311336;-97;;;;;;
4671;Kreuzlingen;2007;155245;9;;;;;;
4681;Langrickenbach;2007;-404854;-379;;;;;;
4683;Lengwil;2007;;;;;;;;
4741;Lommis;2007;-31000;-30;;;;;;
4826;Mammern;2007;;;;;;;;
4941;Maerstetten;2007;;;;;;;;
4591;Matzingen;2007;;;;;;;;
4831;Muellheim;2007;;;;;;;;
4746;Muenchwilen;2007;;;;;;;;
4691;Muensterlingen;2007;38979;16;;;;;;
4601;Neunforn;2007;-57610;-62;;;;;;
4841;Pfyn;2007;;;;;;;;
4846;Raperswilen;2007;-105396;-265;;;;;;
4751;Rickenbach;2007;;;;;;;;
4431;Roggwil;2007;6373;2;;;;;;
4436;Romanshorn;2007;;;;;;;;
4851;Salenstein;2007;139686;117;;;;;;
4441;Salmsach;2007;-207956;-159;;;;;;
4546;Schlatt;2007;-50788;-33;;;;;;
4756;Schoenholzerswilen;2007;-261727;-350;;;;;;
4761;Sirnach;2007;;;;;;;;
4446;Sommeri;2007;-107969;-224;;;;;;
4864;Steckborn;2007;;;;;;;;
4606;Stettfurt;2007;23213;21;;;;;;
4506;Sulgen;2007;;;;;;;;
4696;Taegerwilen;2007;71448;20;;;;;;
4611;Thundorf;2007;-131214;-105;;;;;;
4776;Tobel-Taegerschen;2007;;;;;;;;
4616;Uesslingen-Buch;2007;-120455;-116;;;;;;
4451;Uttwil;2007;2032;1;;;;;;
4871;Wagenhausen;2007;;;;;;;;
4701;Waeldi;2007;-174971;-182;;;;;;
4781;Waengi;2007;;;;;;;;
4621;Warth-Weiningen;2007;115406;100;;;;;;
4946;Weinfelden;2007;180050;19;;;;;;
4951;Wigoltingen;2007;-165500;-77;;;;;;
4786;Wilen;2007;;;;;;;;
4791;Wuppenau;2007;-462667;-463;;;;;;
4511;Zihlschlacht-Sitterdorf;2007;;;;;;;;
4551;Aadorf;2006;;;;;;;;
4711;Affeltrangen;2006;;;;;;;;
4641;Altnau;2006;;;;;;;;
4881;Amlikon-Bissegg;2006;-391235;-328;;;;;;
4461;Amriswil;2006;-1423031;-124;;;;;;
4401;Arbon;2006;-404738;-32;;;;;;
4536;Basadingen-Schlattingen;2006;-114609;-69;;;;;;
4891;Berg;2006;;;;;;;;
4801;Berlingen;2006;;;;;;;;
4716;Bettwiesen;2006;;;;;;;;
4721;Bichelsee-Balterswil;2006;;;;;;;;
4901;Birwinken;2006;-519849;-405;;;;;;
4471;Bischofszell;2006;-164385;-30;;;;;;
4643;Bottighofen;2006;396572;205;;;;;;
4723;Braunau;2006;-160946;-240;;;;;;
4911;Buerglen;2006;;;;;;;;
4921;Bussnang;2006;-707277;-357;;;;;;
4545;Diessenhofen;2006;13017;4;;;;;;
4406;Dozwil;2006;-89947;-170;;;;;;
4411;Egnach;2006;;;;;;;;
4476;Erlen;2006;-210460;-69;;;;;;
4646;Ermatingen;2006;154901;59;;;;;;
4806;Eschenz;2006;-39646;-25;;;;;;
4724;Eschlikon;2006;26899;8;;;;;;
4561;Felben-Wellhausen;2006;;;;;;;;
4726;Fischingen;2006;-646273;-249;;;;;;
4566;Frauenfeld;2006;849575;39;;;;;;
4571;Gachnang;2006;;;;;;;;
4651;Gottlieben;2006;52904;162;;;;;;
4656;Guettingen;2006;;;;;;;;
4486;Hauptwil-Gottshaus;2006;-657171;-352;;;;;;
4416;Hefenhofen;2006;-142804;-120;;;;;;
4811;Herdern;2006;-143418;-155;;;;;;
4495;Hohentannen;2006;-327416;-547;;;;;;
4816;Homburg;2006;-582146;-406;;;;;;
4421;Horn;2006;94143;40;;;;;;
4590;Huettlingen;2006;-66003;-78;;;;;;
4821;Huettwilen;2006;-137632;-100;;;;;;
4666;Kemmental;2006;-234693;-110;;;;;;
4426;Kesswil;2006;2912;3;;;;;;
4501;Kradolf-Schoenenberg;2006;-271880;-85;;;;;;
4671;Kreuzlingen;2006;446432;25;;;;;;
4681;Langrickenbach;2006;-501637;-469;;;;;;
4683;Lengwil;2006;;;;;;;;
4741;Lommis;2006;-36370;-34;;;;;;
4826;Mammern;2006;11077;20;;;;;;
4941;Maerstetten;2006;;;;;;;;
4591;Matzingen;2006;;;;;;;;
4831;Muellheim;2006;;;;;;;;
4746;Muenchwilen;2006;;;;;;;;
4691;Muensterlingen;2006;36615;15;;;;;;
4601;Neunforn;2006;-74816;-79;;;;;;
4841;Pfyn;2006;;;;;;;;
4846;Raperswilen;2006;-111390;-273;;;;;;
4751;Rickenbach;2006;;;;;;;;
4431;Roggwil;2006;766;0;;;;;;
4436;Romanshorn;2006;19918;2;;;;;;
4851;Salenstein;2006;160263;132;;;;;;
4441;Salmsach;2006;-165820;-125;;;;;;
4546;Schlatt;2006;-69064;-45;;;;;;
4756;Schoenholzerswilen;2006;-288370;-388;;;;;;
4761;Sirnach;2006;;;;;;;;
4446;Sommeri;2006;-84776;-170;;;;;;
4864;Steckborn;2006;;;;;;;;
4606;Stettfurt;2006;33437;31;;;;;;
4506;Sulgen;2006;;;;;;;;
4696;Taegerwilen;2006;61201;17;;;;;;
4611;Thundorf;2006;-149790;-119;;;;;;
4776;Tobel-Taegerschen;2006;;;;;;;;
4616;Uesslingen-Buch;2006;-132550;-128;;;;;;
4451;Uttwil;2006;4290;3;;;;;;
4871;Wagenhausen;2006;;;;;;;;
4701;Waeldi;2006;-214040;-224;;;;;;
4781;Waengi;2006;;;;;;;;
4621;Warth-Weiningen;2006;74134;63;;;;;;
4946;Weinfelden;2006;194452;20;;;;;;
4951;Wigoltingen;2006;-152233;-72;;;;;;
4786;Wilen;2006;;;;;;;;
4791;Wuppenau;2006;-462667;-455;;;;;;
4511;Zihlschlacht-Sitterdorf;2006;;;;;;;;
4551;Aadorf;2005;;;;;;;;
4711;Affeltrangen;2005;-42264;-19;;;;;;
4641;Altnau;2005;;;;;;;;
4881;Amlikon-Bissegg;2005;-343293;-294;;;;;;
4461;Amriswil;2005;-1198889;-105;;;;;;
4401;Arbon;2005;-416424;-32;;;;;;
4536;Basadingen-Schlattingen;2005;-310100;-188;;;;;;
4891;Berg;2005;;;;;;;;
4801;Berlingen;2005;8780;11;;;;;;
4716;Bettwiesen;2005;;;;;;;;
4721;Bichelsee-Balterswil;2005;;;;;;;;
4901;Birwinken;2005;-522134;-404;;;;;;
4471;Bischofszell;2005;-169721;-31;;;;;;
4643;Bottighofen;2005;442702;231;;;;;;
4723;Braunau;2005;-154815;-228;;;;;;
4911;Buerglen;2005;;;;;;;;
4921;Bussnang;2005;-707277;-355;;;;;;
4545;Diessenhofen;2005;35787;11;;;;;;
4406;Dozwil;2005;-89947;-171;;;;;;
4411;Egnach;2005;;;;;;;;
4476;Erlen;2005;;;;;;;;
4646;Ermatingen;2005;134154;52;;;;;;
4806;Eschenz;2005;-28799;-19;;;;;;
4724;Eschlikon;2005;;;;;;;;
4561;Felben-Wellhausen;2005;;;;;;;;
4726;Fischingen;2005;-825353;-319;;;;;;
4566;Frauenfeld;2005;803919;37;;;;;;
4571;Gachnang;2005;;;;;;;;
4651;Gottlieben;2005;52814;185;;;;;;
4656;Guettingen;2005;;;;;;;;
4486;Hauptwil-Gottshaus;2005;-723771;-397;;;;;;
4416;Hefenhofen;2005;-191180;-167;;;;;;
4811;Herdern;2005;-149072;-162;;;;;;
4495;Hohentannen;2005;-310399;-517;;;;;;
4816;Homburg;2005;-626798;-438;;;;;;
4421;Horn;2005;110200;48;;;;;;
4590;Huettlingen;2005;-83410;-99;;;;;;
4821;Huettwilen;2005;-142074;-103;;;;;;
4666;Kemmental;2005;-245800;-114;;;;;;
4426;Kesswil;2005;1790;2;;;;;;
4501;Kradolf-Schoenenberg;2005;-301022;-96;;;;;;
4671;Kreuzlingen;2005;450588;26;;;;;;
4681;Langrickenbach;2005;-577983;-544;;;;;;
4683;Lengwil;2005;;;;;;;;
4741;Lommis;2005;-38369;-37;;;;;;
4826;Mammern;2005;3380;6;;;;;;
4941;Maerstetten;2005;;;;;;;;
4591;Matzingen;2005;;;;;;;;
4831;Muellheim;2005;;;;;;;;
4746;Muenchwilen;2005;255726;55;;;;;;
4691;Muensterlingen;2005;24932;10;;;;;;
4601;Neunforn;2005;-102125;-109;;;;;;
4841;Pfyn;2005;;;;;;;;
4846;Raperswilen;2005;-125058;-306;;;;;;
4751;Rickenbach;2005;;;;;;;;
4431;Roggwil;2005;3389;1;;;;;;
4436;Romanshorn;2005;14101;2;;;;;;
4851;Salenstein;2005;163894;136;;;;;;
4441;Salmsach;2005;-108011;-83;;;;;;
4546;Schlatt;2005;-75168;-49;;;;;;
4756;Schoenholzerswilen;2005;-349794;-479;;;;;;
4761;Sirnach;2005;;;;;;;;
4446;Sommeri;2005;-85880;-177;;;;;;
4864;Steckborn;2005;-51880;-15;;;;;;
4606;Stettfurt;2005;19766;19;;;;;;
4506;Sulgen;2005;;;;;;;;
4696;Taegerwilen;2005;38883;11;;;;;;
4611;Thundorf;2005;-151885;-122;;;;;;
4776;Tobel-Taegerschen;2005;;;;;;;;
4616;Uesslingen-Buch;2005;-142708;-135;;;;;;
4451;Uttwil;2005;3232;2;;;;;;
4871;Wagenhausen;2005;;;;;;;;
4701;Waeldi;2005;-242263;-254;;;;;;
4781;Waengi;2005;;;;;;;;
4621;Warth-Weiningen;2005;45790;38;;;;;;
4946;Weinfelden;2005;214234;22;;;;;;
4951;Wigoltingen;2005;-132290;-64;;;;;;
4786;Wilen;2005;;;;;;;;
4791;Wuppenau;2005;-482667;-497;;;;;;
4511;Zihlschlacht-Sitterdorf;2005;;;;;;;;
4551;Aadorf;2004;;;;;;;;
4711;Affeltrangen;2004;-122263;-55;;;;;;
4641;Altnau;2004;;;;;;;;
4881;Amlikon-Bissegg;2004;-300057;-247;;;;;;
4461;Amriswil;2004;-1089475;-96;;;;;;
4401;Arbon;2004;;;;;;;;
4536;Basadingen-Schlattingen;2004;-203562;-123;;;;;;
4891;Berg;2004;;;;;;;;
4801;Berlingen;2004;13678;18;;;;;;
4716;Bettwiesen;2004;;;;;;;;
4721;Bichelsee-Balterswil;2004;;;;;;;;
4901;Birwinken;2004;-535884;-419;;;;;;
4471;Bischofszell;2004;-180986;-32;;;;;;
4643;Bottighofen;2004;546178;293;;;;;;
4723;Braunau;2004;-177108;-259;;;;;;
4911;Buerglen;2004;;;;;;;;
4921;Bussnang;2004;-773877;-378;;;;;;
4545;Diessenhofen;2004;22253;7;;;;;;
4406;Dozwil;2004;-121260;-240;;;;;;
4411;Egnach;2004;;;;;;;;
4476;Erlen;2004;;;;;;;;
4646;Ermatingen;2004;94082;37;;;;;;
4806;Eschenz;2004;-82913;-54;;;;;;
4724;Eschlikon;2004;;;;;;;;
4561;Felben-Wellhausen;2004;;;;;;;;
4726;Fischingen;2004;-893610;-344;;;;;;
4566;Frauenfeld;2004;697064;32;;;;;;
4571;Gachnang;2004;;;;;;;;
4651;Gottlieben;2004;61735;211;;;;;;
4656;Guettingen;2004;;;;;;;;
4486;Hauptwil-Gottshaus;2004;-657171;-352;;;;;;
4416;Hefenhofen;2004;-162179;-140;;;;;;
4811;Herdern;2004;-164094;-176;;;;;;
4495;Hohentannen;2004;-294489;-509;;;;;;
4816;Homburg;2004;-660514;-458;;;;;;
4421;Horn;2004;122348;52;;;;;;
4590;Huettlingen;2004;-79323;-94;;;;;;
4821;Huettwilen;2004;-159136;-114;;;;;;
4666;Kemmental;2004;-266954;-122;;;;;;
4426;Kesswil;2004;7205;8;;;;;;
4501;Kradolf-Schoenenberg;2004;-412726;-133;;;;;;
4671;Kreuzlingen;2004;411707;24;;;;;;
4681;Langrickenbach;2004;-551189;-523;;;;;;
4683;Lengwil;2004;;;;;;;;
4741;Lommis;2004;-40944;-40;;;;;;
4826;Mammern;2004;5918;10;;;;;;
4941;Maerstetten;2004;;;;;;;;
4591;Matzingen;2004;;;;;;;;
4831;Muellheim;2004;-32694;-13;;;;;;
4746;Muenchwilen;2004;306283;66;;;;;;
4691;Muensterlingen;2004;22525;9;;;;;;
4601;Neunforn;2004;-103932;-106;;;;;;
4841;Pfyn;2004;;;;;;;;
4846;Raperswilen;2004;-151338;-358;;;;;;
4751;Rickenbach;2004;;;;;;;;
4431;Roggwil;2004;3173;1;;;;;;
4436;Romanshorn;2004;36492;4;;;;;;
4851;Salenstein;2004;193914;162;;;;;;
4441;Salmsach;2004;-49179;-38;;;;;;
4546;Schlatt;2004;-78382;-52;;;;;;
4756;Schoenholzerswilen;2004;-425762;-589;;;;;;
4761;Sirnach;2004;;;;;;;;
4446;Sommeri;2004;-89976;-185;;;;;;
4864;Steckborn;2004;;;;;;;;
4606;Stettfurt;2004;16380;16;;;;;;
4506;Sulgen;2004;;;;;;;;
4696;Taegerwilen;2004;27250;8;;;;;;
4611;Thundorf;2004;-182131;-152;;;;;;
4776;Tobel-Taegerschen;2004;;;;;;;;
4616;Uesslingen-Buch;2004;-151084;-144;;;;;;
4451;Uttwil;2004;13349;9;;;;;;
4871;Wagenhausen;2004;;;;;;;;
4701;Waeldi;2004;-296704;-310;;;;;;
4781;Waengi;2004;;;;;;;;
4621;Warth-Weiningen;2004;26154;22;;;;;;
4946;Weinfelden;2004;238644;25;;;;;;
4951;Wigoltingen;2004;-76414;-37;;;;;;
4786;Wilen;2004;;;;;;;;
4791;Wuppenau;2004;-462667;-475;;;;;;
4511;Zihlschlacht-Sitterdorf;2004;;;;;;;;

